nr,lokalita,otazka,datum,opravnene_osoby,ucast,platnost_referenda,pro,proti,zavaznost,platnost_hlasovani,platnost_fin,platnost_T,referendum_validity,referendum_binding,voting_valid,binding_minimum_count,rok_fin,rok_T,obec_fin,okres_fin,kraj_fin,geo_city,lok_T
1.0,"Drahoňův Újezd (Rokycany, PLK)","Má obec Drahoňův Újezd při výkonu své samostatné působnosti využít všech zákonných prostředků (zejména z titulu schvalovatele územního plánu, účastníka správních řízení a vlastníka pozemků), aby zabránila těžbě jižní části ložiska stavebního kamene v dobývacím porstoru Třebnuška?",2006-03-25 00:00:00,112,0.804,ANO,"88                   (97,8 %)",0,ANO         (46),,ANO,True,True,True,True,46,2006,True,Drahoňův Újezd,Rokycany,Plzeňský kraj,"Drahoňův Újezd, Rokycany, Plzeňský kraj, Česká republika",True
2.0,"Tisovec                (Chrudim, PAK)","Souhlasíte s tím, aby obec Tisovec pronajala pozemek v k. ú. Tisovec p. č. 1781 firmě Holcim (Česko) a.s.  za účelem otevření lomu na těžbu kameniva?",2006-03-25 00:00:00,265,0.751,ANO,"57         (28,6 %)","137      (68,8 %)",ANO         (100),,ANO,True,True,True,True,100,2006,True,Tisovec,Chrudim,Pardubický kraj,"Tisovec, Chrudim, Pardubický kraj, Česká republika",True
3.0,"Opatovice nad Labem             (Pardubice, PAK)","1. Souhlasíte se vstupem obce do společnosti na energetické využívání odpadů EVO, a.s.?                                                                 2. Jste pro to, aby obec Opatovice nad Labem souhlasila s umístěním stavby spalovny odpadů nebo zařízení na energetické využívání odpadů na katastrálním území obce Opatovice nad Labem?",2006-06-24 00:00:00,1352,0.547,ANO,"ad 1) 98 ad 2) 46 (13,3 %; 56,2%)","ad 1) 610 ad 2) 669 (82,5 %; 90,5%)",Ad 1) ANO Ad 2) ANO (370),,ANO,True,True,False,True,370,2006,True,Opatovice nad Labem,Pardubice,Pardubický kraj,"Opatovice nad Labem, Pardubice, Pardubický kraj, Česká republika",True
4.0,"Čelákovice              (Praha-východ, STČ)",Odmítáte realizaci polyfunkčního domu Harmonie v proluce na jižní straně náměstí?,2006-09-09 00:00:00,8598,0.18,NE,"1238 (80,1%)",293        (19 %),NE,,NE,True,False,False,True,0,2006,True,Čelákovice,Praha-východ,Střední čechy,"Čelákovice, Praha-východ, Střední čechy, Česká republika",True
5.0,"Miskovice - mč               (Kutná Hora, STČ)","Souhlasíte s výstavbou dětského domova podle studie ""Výstavba nového dětského domova se školou Miskovice p. č. 90, okres Kutná Hora"" na území obce Miskovice?",20. -21.10.2006,304,0.674,ANO,"50       (24,4 %)","153 (74,6%)",ANO       (103),,ANO,True,True,True,True,103,2006,True,Miskovice - mč,Kutná Hora,Střední čechy,"Miskovice - mč, Kutná Hora, Střední čechy, Česká republika",True
6.0,"Vrbátky    (Prostějov, OLK)",Souhlasíte se změnou územního plánu obce Vrbátky umožňující stavbu lihovaru?,20. -21.10.2006,1245,0.504,ANO,"191     (30,4 %)","431     (68,6 %)",ANO       (315),,ANO,True,True,True,True,315,2006,True,Vrbátky,Prostějov,Olomoucký kraj,"Vrbátky, Prostějov, Olomoucký kraj, Česká republika",True
7.0,"Litvínov                       (Most, ÚLK)","Má město Litvínov aktivně využít všech prostředků, aby zabránilo přiblížení povrchové těžby uhlí k Litvínovu, při kterém by došlo k překročení územních ekologických limitů vymezených usnesením vlády č. 444/1991?",2006-12-01 00:00:00,21672,0.3823,NE,"7909   (95,5 %)","288        (3,8 %)",NE,,NE,True,False,False,True,0,2006,True,Litvínov,Most,Ústecký kraj,"Litvínov, Most, Ústecký kraj, Česká republika",True
8.0,"Abertamy a přidružená část Hřebečná (Karlovy Vary, KVK)","Souhlasíte s tím, aby na pozemcích obce Abertamy parc.č.1613/1 a č.1628/1 v katastrálním území Hřebečná byly za níže uvedených podmínek postaveny větrné elektrárny? (Technická specifikace: větrné elektrárny budou dvě, gondoly elektráren budou ve výšce 80m a 90m nad terénem, délka listu vrtule 45m, výkon cca 3 MW; - zisk obce: předpokládaný zisk obce Abertamy z obou elektráren bude cca 2.000.000,-Kč ročně; - podíl občanů na zisku: část každoročního zisku z elektráren bude rozdělována mezi obyvatele obce. Výši výplaty podílu na zisku v příslušném kalendářním roce bude určovat zastupitelstvo.)",2006-12-08 00:00:00,884,0.549,ANO,"437     (90,1 %)","43          (8,9 %)",ANO        (443),,ANO,True,True,True,True,443,2006,True,Abertamy a přidružená část Hřebečná,Karlovy Vary,Karlovarský kraj,"Abertamy a přidružená část Hřebečná, Karlovy Vary, Karlovarský kraj, Česká republika",True
9.0,"Mírová                   (Karlovy Vary, KVK)","Souhlasíte s tím, aby byl otevřen dobývací prostor v lokalitě Mírová - Zátiší v katastrálním území obce Mírová?",2007-01-19 00:00:00,208,0.615,ANO,"33       (25,8 %)","95       (74,2 %)",ANO         (65) ,,ANO,True,True,False,True,65,2007,True,Mírová,Karlovy Vary,Karlovarský kraj,"Mírová, Karlovy Vary, Karlovarský kraj, Česká republika",True
10.0,"Olešenka               (Havlíčkův Brod, VYS)","Souhlasíte s tím, aby v katastru obce Olešenka byly postaveny a provozovány větrné elektrárny?",2007-01-27 00:00:00,145,0.572,ANO,"43       (51,8 %)","38       (45,8 %)",ANO         (42),,ANO,True,True,True,True,42,2007,True,Olešenka,Havlíčkův Brod,Kraj Vysočina,"Olešenka, Havlíčkův Brod, Kraj Vysočina, Česká republika",True
